"dsc","url","mag","lat","lng","distance"
"M 1.5 - 4km WNW of Broadmoor, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371566",1.54,37.7063333,-122.5208333,7.790771372115278
"M 1.3 - 5km WNW of Broadmoor, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367716",1.32,37.7081667,-122.5378333,8.417736463394933
"M 1.3 - 5km WNW of Broadmoor, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367701",1.33,37.709,-122.5391667,8.440105881914326
"M 0.7 - 2km N of Pacifica, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373956",0.73,37.6393333,-122.4811667,10.538481613580723
"M 1.4 - 1km WNW of Richmond, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377756",1.37,37.9383333,-122.3608333,11.120086495084943
"M 1.4 - 6km ENE of Alameda, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367116",1.43,37.786,-122.1703333,13.486273876247406
"M 1.2 - 6km ENE of Alameda, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367111",1.18,37.7875,-122.169,13.560838604645383
"M 0.3 - 4km WSW of Millbrae, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375181",0.3,37.5861667,-122.431,13.618004896417165
"M 0.9 - 6km SSW of Moraga, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367191",0.94,37.7876667,-122.1653333,13.76216337131992
"M 1.1 - 3km NNE of San Leandro, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375146",1.11,37.7493333,-122.1405,15.301925012738142
"M 2.2 - 1km ENE of Moss Beach, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370406",2.18,37.5351667,-122.4935,17.62337355686182
"M 1.0 Quarry_blast - 5km ENE of El Granada, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372806",1.03,37.518,-122.4115,18.29880572160016
"M 0.8 - 5km WSW of Martinez, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366861",0.84,37.9953333,-122.1888333,19.208495408055477
"M 1.1 - 6km NNW of Bayview, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373581",1.1,38.0581667,-122.3548333,19.256341108777512
"M 1.5 - 6km NNW of Bayview, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378886",1.47,38.0596667,-122.3593333,19.316614264232545
"M 0.6 - 1km WNW of Walnut Creek, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372206",0.62,37.911,-122.0813333,20.346228888861273
"M 0.8 - 3km W of Danville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379251",0.8,37.818,-122.0393333,20.789267650092587
"M 0.8 - 1km W of Alamo, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375561",0.76,37.8485,-122.0456667,20.792374513775833
"M 2.5 - 1km ESE of Hayward, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377971",2.48,37.6621667,-122.0658333,20.958281034461333
"M 0.9 - 1km WNW of Waldon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378371",0.93,37.9283333,-122.0673333,21.564740825431546
"M 1.9 - 3km SE of Hayward, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378736",1.91,37.6465,-122.0535,22.0220711596058
"M 1.2 - 0km SSW of Pleasant Hill, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378656",1.21,37.9423333,-122.0643333,22.169957870928457
"M 0.9 - 6km WSW of Lagunitas-Forest Knolls, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375566",0.92,37.9941667,-122.7545,23.50342376377894
"M 2.5 - 1km NNW of San Ramon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366381",2.52,37.7923333,-121.9843333,23.67305852088434
"M 1.8 - 0km ESE of Emerald Lake Hills, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373721",1.84,37.4625,-122.258,23.775585022431557
"M 1.6 - 1km E of Pacheco, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368411",1.55,37.9828333,-122.0601667,23.858227596405982
"M 1.2 - 1km E of Pacheco, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368241",1.19,37.9843333,-122.0566667,24.073843936023465
"M 1.3 - 4km ESE of Waldon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372706",1.28,37.9108333,-122.0035,24.24907104775871
"M 1.4 - 1km SSW of Concord, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369601",1.43,37.9661667,-122.0373333,24.273304584488052
"M 2.1 - 1km SSW of Concord, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368016",2.05,37.969,-122.036,24.4373469869636
"M 1.0 - 0km SSW of Concord, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379211",0.96,37.9713333,-122.0341667,24.606981744069
"M 1.4 - 3km NW of Vallejo, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72381456",1.41,38.1306648,-122.2801666,25.0910311059192
"M 0.9 - 5km SW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366366",0.89,38.1448333,-122.3103333,25.60242086818199
"M 0.9 - 2km W of Woodside, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374941",0.87,37.4268333,-122.2763333,25.76211366150099
"M 1.3 - 5km SW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377721",1.33,38.1465,-122.3053333,25.777026607180584
"M 1.2 - 3km SSW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375971",1.16,38.145,-122.2723333,26.162277703903467
"M 1.5 Quarry_blast - 7km E of Vallejo, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366106",1.47,38.1156667,-122.1753333,26.443138180869177
"M 0.8 - 2km S of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378056",0.75,38.1503333,-122.2663333,26.612151565237927
"M 1.0 - 2km WSW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367606",0.96,38.1691667,-122.2913333,27.478966532864405
"M 1.9 - 7km NW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367051",1.89,38.2118333,-122.33,29.932146097157844
"M 1.3 - 6km NW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374411",1.25,38.2125,-122.3243333,30.02845887133856
"M 2.5 - 7km NW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373016",2.54,38.214,-122.327,30.106130463419788
"M 1.5 - 7km NW of American Canyon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372951",1.54,38.2156667,-122.323,30.25588129295239
"M 0.3 - 5km SSW of Pleasanton, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375371",0.25,37.615,-121.9015,30.524935687921758
"M 0.6 - 5km SSW of Pleasanton, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374876",0.64,37.6155,-121.9,30.588315707060037
"M 0.8 - 3km ESE of Fremont, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375776",0.81,37.534,-121.9478333,30.926963848534182
"M 0.9 - 4km ESE of Fremont, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366311",0.85,37.537,-121.9338333,31.45513067468652
"M 1.5 - 7km SSW of Napa, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72380911",1.52,38.2371674,-122.3263321,31.689388196403495
"M 1.8 - 3km SSW of Pittsburg, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376876",1.84,38.004,-121.9035,31.913082381597427
"M 2.2 - 7km SW of Napa, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379046",2.19,38.2478333,-122.346,32.270371705171065
"M 2.5 - 7km E of Blackhawk, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366326",2.49,37.8268333,-121.8215,32.70781811177253
"M 1.3 - 7km SE of Fremont, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368106",1.29,37.511,-121.9231667,32.941454260752856
"M 2.5 - 3km NW of Pittsburg, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379081",2.54,38.048,-121.9091667,33.20118806467248
"M 1.8 - 8km SE of Fremont, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368851",1.79,37.5066667,-121.9141667,33.51746678762723
"M 1.8 - 9km ENE of Blackhawk, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366336",1.84,37.8418333,-121.7995,34.010836740527175
"M 1.3 - 9km SW of Brentwood, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373576",1.29,37.8613333,-121.8026667,34.02077870431357
"M 1.1 - 3km WSW of Loyola, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376581",1.07,37.337,-122.1388333,34.35197037294792
"M 1.2 - 7km WSW of Napa, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372006",1.22,38.28,-122.3638333,34.37868940062386
"M 1.3 - 0km SE of Loyola, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368466",1.26,37.3491667,-122.0985,34.66327811400947
"M 0.7 - 3km SW of Loyola, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376631",0.67,37.3338333,-122.13,34.76518324282004
"M 1.9 - 11km SSW of Brentwood, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72381716",1.88,37.8269997,-121.7741699,35.28837908707918
"M 1.0 Quarry_blast - 2km SSE of Loyola, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374171",1.04,37.3316667,-122.0933333,35.851342786483904
"M 1.8 Quarry_blast - 3km S of Loyola, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72380001",1.78,37.3235,-122.098,36.217952701107286
"M 0.9 - 9km SSW of Livermore, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376816",0.89,37.6005,-121.7943333,36.363353921483345
"M 1.1 - 5km S of Livermore, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373816",1.1,37.6331667,-121.7635,37.25813066225906
"M 0.7 - 11km NE of Milpitas, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378341",0.71,37.5123333,-121.8266667,37.36438540022618
"M 1.7 - 7km SSW of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366346",1.69,38.3346667,-122.384,38.07026482906036
"M 2.0 - 8km NE of Milpitas, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378891",1.95,37.4775,-121.8308333,38.436874743683745
"M 1.0 - 6km WSW of Eldridge, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378686",1.01,38.3318333,-122.5796667,38.862515068288864
"M 1.5 - 6km SSW of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373176",1.54,38.3518333,-122.3938333,39.232231846595504
"M 1.6 - 6km SSW of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372326",1.62,38.352,-122.4003333,39.23409596480545
"M 1.1 - 6km SSW of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372361",1.09,38.3526667,-122.3981667,39.282563038264136
"M 2.4 - 6km SW of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372291",2.36,38.3553333,-122.4008333,39.46338250462923
"M 1.4 - 6km SSW of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368361",1.42,38.356,-122.3995,39.51060683261461
"M 0.8 - 12km WSW of Saratoga, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369381",0.8,37.2401667,-122.1661667,39.90517852038724
"M 2.2 - 7km NNE of East Foothills, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369266",2.2,37.4488333,-121.7998333,40.954677072588765
"M 1.0 - 7km NNE of East Foothills, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371796",1.01,37.4473333,-121.7986667,41.06652416518573
"M 2.2 - 7km SW of Kenwood, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373891",2.15,38.3626667,-122.6068333,41.282140504803216
"M 3.0 - 7km SW of Kenwood, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373706",3,38.3646667,-122.6068333,41.41573564318292
"M 1.2 - 6km NE of East Foothills, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369756",1.15,37.4136667,-121.7615,44.0727254650975
"M 1.3 - 12km E of Yountville, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373931",1.33,38.4108333,-122.2176667,44.62077621882263
"M 1.4 - 6km SE of Santa Rosa, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371131",1.42,38.4018333,-122.6615,44.6990691836405
"M 1.9 - 5km SE of Santa Rosa, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370051",1.85,38.412,-122.6615,45.36828762101234
"M 2.1 - 6km ENE of East Foothills, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376851",2.06,37.3931667,-121.7428333,45.733654790162426
"M 0.9 - 7km E of East Foothills, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72380216",0.94,37.3856667,-121.7378333,46.26182161631476
