sample,lang,fips,state,cregion,eminuse,intmob,smart1,pial2,pial3,SmartPhone,employ,par,sex,age,educ2,hisp,race,inc,income,party,iphoneuse,hphoneuse
Landline,English,"ANNE ARUNDEL, MD",Maryland,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,52,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Black or African-American,"$150,000 or over",$75K+,Democrat,Dual,Dual HH
Landline,English,"WARREN, NJ",New Jersey,Northeast,No,No,,,,No cell,Not employed,No,Female,86,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000",Under $30K,Republican,llo,LLO HH
Landline,English,"WORCESTER, MA",Massachusetts,Northeast,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,41,Two year associate degree from a college or university,Yes,Other (SPECIFY),"$10,000 to under $20,000",Under $30K,Democrat,Dual,Dual HH
Landline,English,"GREENVILLE, SC",South Carolina,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed part-time,Yes,Female,45,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$100,000 to under $150,000",$75K+,Independent,Dual,Dual HH
Landline,English,"HENDERSON, KY",Kentucky,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,50,"Some college, no degree (includes some community college)",No,White,"$100,000 to under $150,000",$75K+,Republican,Dual,Dual HH
Landline,English,"JACKSON, MO",Missouri,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed part-time,No,Male,56,Two year associate degree from a college or university,No,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,Dual,Dual HH
Landline,English,"SHELBY, TN",Tennessee,South,No,No,,,,No cell,Not employed,No,Male,85,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000",Under $30K,Democrat,llo,Dual HH
Landline,English,"ALACHUA, FL",Florida,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,43,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$150,000 or over",$75K+,Republican,Dual,Dual HH
Landline,English,"BELKNAP, NH",New Hampshire,Northeast,Yes,Yes,Not sure/Don't know,"Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed full-time,No,Female,61,Two year associate degree from a college or university,No,White,"$75,000 to under $100,000",$75K+,Independent,Dual,Dual HH
Landline,English,"COBB, GA",Georgia,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,55,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$100,000 to under $150,000",$75K+,No preference (VOL.),Dual,Dual HH
Landline,English,"SABINE, LA",Louisiana,South,Yes,Yes,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed full-time,No,Male,41,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000",$30K-LT $50K,Republican,Dual,Dual HH
Landline,English,"NEW HANOVER, NC",North Carolina,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,Yes,Female,56,Two year associate degree from a college or university,No,White,"$40,000 to under $50,000",$30K-LT $50K,Independent,Dual,Dual HH
Landline,English,"CUYAHOGA, OH",Ohio,Midwest,Yes,No,"No, not a smartphone","No, did not use internet/email yesterday",,"Cell, not a smartphone",Not employed,No,Female,Refused (VOL.),"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,Don't know/Refused (VOL.),Undesignated,Republican,Dual,Dual HH
Landline,English,"STODDARD, MO",Missouri,Midwest,Yes,Yes,"No, not a smartphone","No, did not use internet/email yesterday",,"Cell, not a smartphone",Not employed,No,Female,72,"Some college, no degree (includes some community college)",No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,Dual,Dual HH
Landline,English,"SHENANDOAH, VA",Virginia,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,35,High school graduate (Grade 12 with diploma or GED certificate),No,White,Don't know/Refused (VOL.),$75K+,Independent,Dual,Dual HH
Landline,English,"MADISON, NE",Nebraska,Midwest,No,No,Not sure/Don't know,,,"Cell, not a smartphone",Not employed,No,Female,91,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,Don't know/Refused (VOL.),Under $30K,Republican,Dual,Dual HH
Landline,English,"JONES, MS",Mississippi,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Female,52,"Some college, no degree (includes some community college)",No,White,"$100,000 to under $150,000",$75K+,No preference (VOL.),Dual,Dual HH
Landline,English,"CLAYTON, GA",Georgia,South,Yes,No,,"Yes, used internet/email yesterday","Yes, used at home",No cell,Not employed,No,Male,74,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,llo,Dual HH
Landline,English,"OUTAGAMIE, WI",Wisconsin,Midwest,Yes,Yes,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed full-time,No,Male,54,Two year associate degree from a college or university,No,White,"$150,000 or over",$75K+,Independent,Dual,Dual HH
Landline,English,"MARION, FL",Florida,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Male,70,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"MCHENRY, IL",Illinois,Midwest,Yes,No,"Yes, smartphone","No, did not use internet/email yesterday",,"Cell, smartphone",Employed part-time,No,Female,18,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,White,"$75,000 to under $100,000",$75K+,Independent,Dual,Dual HH
Landline,English,"YORK, PA",Pennsylvania,Northeast,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed part-time,No,Male,64,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000",Under $30K,Republican,Dual,Dual HH
Landline,English,"ORANGE, FL",Florida,South,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Female,52,High school graduate (Grade 12 with diploma or GED certificate),No,White,Don't know/Refused (VOL.),$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"BELKNAP, NH",New Hampshire,Northeast,Yes,No,,"Yes, used internet/email yesterday","Yes, used at home",No cell,Employed full-time,No,Female,57,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$40,000 to under $50,000",$30K-LT $50K,Independent,llo,LLO HH
Landline,English,"CADDO, LA",Louisiana,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Male,67,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Black or African-American,"$40,000 to under $50,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"MARSHALL, AL",Alabama,South,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Male,62,Less than high school (Grades 1-8 or no formal schooling),No,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Undesignated,Republican,Dual,Dual HH
Landline,English,"GREENE, OH",Ohio,Midwest,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Male,45,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000",Under $30K,Independent,Dual,Dual HH
Landline,English,"LA SALLE, IL",Illinois,Midwest,Yes,Yes,"No, not a smartphone","No, did not use internet/email yesterday",,"Cell, not a smartphone",Employed part-time,No,Female,58,Two year associate degree from a college or university,No,White,Don't know/Refused (VOL.),$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"MIDDLESEX, MA",Massachusetts,Northeast,Yes,No,,"No, did not use internet/email yesterday",,No cell,Employed full-time,No,Male,60,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Asian or Pacific Islander,"$40,000 to under $50,000",$30K-LT $50K,Independent,llo,Dual HH
Landline,English,"SAINT LOUIS, MO",Missouri,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,53,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Black or African-American,"$50,000 to under $75,000",$50K-LT $75K,Democrat,Dual,Dual HH
Landline,English,"WASHINGTON, VA",Virginia,South,Yes,Yes,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Female,50,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000",$75K+,Independent,Dual,Dual HH
Landline,English,"TARRANT, TX",Texas,South,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Male,75,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"$30,000 to under $40,000",$30K-LT $50K,Democrat,Dual,Dual HH
